"model","academic_year","region","campus","grade","persistence","persistence_type","persistence_type_display","grouped_by","grouped_by_display","level_1","level_2","level_3","level_4","level_5","level"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","2",84.6625766871166,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","3",86.7052023121387,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","4",87.9032258064516,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","5",85.9375,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","6",83.6363636363636,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","7",88.4057971014493,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","8",76.1194029850746,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","9",81.1764705882353,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","10",83,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Horizon Vista","PK",87.9518072289157,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
